:START_ID,:END_ID,:TYPE
32000Y0911(01),61989TJ0039,CITES
32000Y0911(01),61995TJ0105,CITES
32000Y0911(01),31994R1164,CITES
32000Y0911(01),31992L0043,CITES
32000Y0911(01),31962R0017,CITES
32000Y0911(01),61978CJ0125,CITES
32000Y0911(01),31994D0090,CITES
32000Y0911(01),31978L0687,CITES
32000Y0911(01),31977L0187,CITES
32000Y0911(01),51997DC0299,CITES
32000Y0911(01),31976L0207,CITES
32000Y0911(01),31993R2053,CITES
32000Y0911(01),11997E041,CITES
32000Y0911(01),31999R0780,CITES
32000Y0911(01),31993R2081,CITES
32000Y0911(01),61996TJ0203,CITES
32000Y0911(01),61997TO0610,CITES
32000Y0911(01),31978L0686,CITES
32000Y0911(01),11997E082,CITES
32000Y0911(01),31998Y1207(01),CITES
32000Y0911(01),61973CJ0120,CITES
32000Y0911(01),31993R0536,CITES
32000Y0911(01),61996TJ0205,CITES
32000Y0911(01),11997E255,CITES
32000Y0911(01),11997E226,CITES
32000Y0911(01),31985L0337,CITES
32000Y0911(01),51999IP0119,CITES
32000Y0911(01),31998IP0265,CITES
32000Y0911(01),31998R2330,CITES
32000Y0911(01),11997E013,CITES
32000Y0911(01),61990TJ0048,CITES
32000Y0911(01),61975CJ0058,CITES
32000Y0911(01),91997E003169,CITES
32000Y0911(01),31958R0058,CITES
32000Y0911(01),61989TJ0032,CITES
32000D0012,31963R0099,CITES
32000D0012,21994A1231(01),CITES
32004D0270,31997Y1209(01),CITES
32004D0270,61996TJ0102,CITES
32004D0270,61976TJ0085,CITES
32001D0834,32001D0394,CITES
32001D0834,31998Y0310(01),CITES
32001D0834,51997DC0678,CITES
32001D0834,11997E082,CITES
32001D0834,11997E039,CITES
32001D0834,52001PC0035,CITES
32001D0834,31994Y1223(02),CITES
32001D0834,11997E086,CITES
32001D0834,C1996/357/03,CITES
32001D0834,31997D0744,CITES
32001D0834,31997D0021,CITES
32001D0834,61990CJ0179,CITES
32001D0834,11997E087,CITES
32001D0834,61988CJ0303,CITES
32001D0834,61996CJ0342,CITES
32001D0834,61998CJ0022,CITES
32003D0792,52003XX1118(02),CITES
32003D0792,52003XX1118(03),CITES
32003D0792,52001XC0302(01),CITES
32002D0894,31998Y0407(01),CITES
32002D0894,61998CC0156,CITES
32002D0894,31992Y0819(01),CITES
32002D0894,11997E087,CITES
32002D0894,61997TJ0298,CITES
32002D0894,61996TJ0132,CITES
32002D0894,61984CJ0248,CITES
32002D0894,32000D0795,CITES
32002D0894,31988Y0812(01),CITES
32002D0894,11997E299,CITES
32002D0894,61997CJ0075,CITES
32002D0894,61990CJ0313,CITES
32002D0894,31999R0659,CITES
32002D0894,11997EN01,CITES
32002D0894,31996Y0306(01),CITES
32002D0894,61999CC0310,CITES
32002D0894,61987CJ0142,CITES
32002D0894,31999Y1009(01),CITES
32002D0894,C1999/351/05,CITES
32002D0894,31999D0718,CITES
32002D0894,31994Y1223(02),CITES
32002D0894,61976CJ0078,CITES
32002D0894,31998Y1210(01),CITES
32002D0894,32001R0069,CITES
32002D0894,31993D0337,CITES
32002D0894,41971X1104,CITES
32002D0894,31979Y0203(01),CITES
32002D0894,61992CJ0278,CITES
32002D0894,31998Y0310(01),CITES
32003D0707,61983CJ0041,CITES
32003D0707,61997TJ0228,CITES
32003D0707,31997D0310,CITES
32003D0707,61995CJ0359,CITES
32003D0707,61986CJ0062,CITES
32003D0707,31998L0010,CITES
32003D0707,12002E086,CITES
32003D0707,31998Y0114(01),CITES
32003D0707,32002L0019,CITES
32003D0707,32002L0022,CITES
32003D0707,31990L0387,CITES
32003D0707,61976CJ0085,CITES
32003D0707,31997D0568,CITES
32003D0707,61993TJ0513,CITES
32003D0707,31997D0603,CITES
32003D0707,31998R2842,CITES
32003D0707,61995CJ0379,CITES
32003D0707,31997D0114,CITES
32003D0707,31998L0061,CITES
32003D0707,52002DC0695,CITES
32003D0707,31997L0033,CITES
32003D0707,32000Y0923(02),CITES
32003D0707,61995CJ0242,CITES
32003D0707,61991CJ0320,CITES
32003D0707,31997D0607,CITES
32003D0707,31990L0388,CITES
32003D0707,12002E256,CITES
32003D0707,32000R2887,CITES
32003D0707,12002E082,CITES
32003D0707,61991TJ0083,CITES
32001H0205,32000Y1201(02),CITES
32002D0523,31995R1663,CITES
32002D0523,31994D0442,CITES
32002D0164,31996L0092,CITES
32002D0164,32001D0519,CITES
32002D0164,31999M1557,CITES
32002D0164,52002XX0228(02),CITES
32002D0164,31998M1072,CITES
32000D0117,61969CJ0048,CITES
32000D0117,31982D0123,CITES
32000D0117,61973CJ0040,CITES
32000D0117,31992D0277,CITES
32000D0117,61995TJ0213,CITES
32000D0117,61989TJ0061,CITES
32000D0117,61983CJ0243,CITES
32000D0117,31986D0398,CITES
32000D0117,61995CJ0185,CITES
32000D0117,31963R0099,CITES
32000D0117,31978D0059,CITES
32000D0117,61986CJ0246,CITES
32000D0117,31982D0367,CITES
32000D0117,61983CJ0123,CITES
32000D0117,31972D0390,CITES
32000D0117,61987CJ0279,CITES
32000D0117,61977CJ0019,CITES
32000D0117,61992TJ0029,CITES
32000D0117,61985CJ0045,CITES
31998R1029,31996R1960,CITES
31998R1029,31996R2378,CITES
31998R1029,31996R2195,CITES
31998R1029,31996R2301,CITES
31998R1029,31996R2045,CITES
31998R1029,31996R1788,CITES
31998R1029,31992R3002,CITES
31998R1029,31977L0099,CITES
32002D0458,61976CJ0078,CITES
32002D0458,31996Y0723(01),CITES
32002D0458,61990CJ0354,CITES
32002D0458,61995CJ0169,CITES
32002D0458,61973CJ0120,CITES
32002D0458,61978CJ0177,CITES
32002D0458,61997CJ0295,CITES
32002D0458,31994Y1223(02),CITES
32002D0458,31993Y1113(01),CITES
32002D0458,11997E089,CITES
32002D0458,31997R0950,CITES
32002D0458,61979CJ0730,CITES
32002D0458,C1998/376/02,CITES
32002D0458,31998Y1210(01),CITES
32002D0458,31992Y0819(02),CITES
32002D0458,C1996/029/03,CITES
32002D0458,31999R0659,CITES
32002D0458,C1998/107/06,CITES
32002D0458,11997E087,CITES
32002D0458,61993TJ0459,CITES
32002D0458,61997CJ0256,CITES
32002D0458,31992R2079,CITES
32002D0458,61972CJ0077,CITES
32002D0458,31998Y0310(01),CITES
32002D0458,31980L0723,CITES
32002D0458,31999Y1009(01),CITES
32002D0458,32000Y0201(01),CITES
32002D0458,31997Y0919(01),CITES
32002D0458,31994D0173,CITES
32002D0458,61988CJ0035,CITES
32002D0458,C1998/100/05,CITES
32002D0458,C1999/120/06,CITES
32002D0458,31988Y0812(01),CITES
32003D0102,31994D0442,CITES
32003D0102,31995R1663,CITES
31997D0331,31988R4254,CITES
31997D0331,31996H0209,CITES
31997D0331,31988R4256,CITES
31997D0331,31996H0210,CITES
31997D0331,31993R2080,CITES
31997D0331,31988R4255,CITES
31997D0331,31993R3699,CITES
31994R3161,31968R0260,CITES
31994R3161,31988R2175,CITES
31994R3161,31976R0300,CITES
32000D0074,61990TJ0024,CITES
32000D0074,31963R0099,CITES
32000D0074,61981CJ0322,CITES
32000D0074,61990CJ0179,CITES
32000D0074,11997E081,CITES
32000D0074,61986CJ0066,CITES
32000D0074,61964CJ0056,CITES
32000D0074,61995CJ0264,CITES
32000D0074,31968R1017,CITES
32000D0074,61976CJ0085,CITES
32000D0074,31997D0624,CITES
32000D0074,31997Y1209(01),CITES
32000D0074,61976CJ0027,CITES
32000D0074,31987R3975,CITES
32000D0074,31991D0480,CITES
32000D0074,11997E256,CITES
32000D0074,31993R3652,CITES
32000D0074,61993TJ0024,CITES
32000D0198,31994L0458,CITES
32004D0421,12002E081,CITES
32004D0421,21994A0103(01),CITES
32004D0421,31962R0017,CITES
32004D0421,52004XX0428(01),CITES
32003H0178,52002TA1128(02),CITES
32000D0797,31998Y0310(01),CITES
32000D0797,61993TJ0459,CITES
32000D0797,61995TJ0150,CITES
32000D0797,61959CJ0030,CITES
32000D0797,31980S0257,CITES
32000D0797,31985S3484,CITES
32000D0797,31999Y0826(01),CITES
32000D0797,11997E093,CITES
32000D0797,31996D0617,CITES
32000D0797,11997E087,CITES
32000D0797,61983CJ0214,CITES
32000D0797,61996TJ0126,CITES
32000D0797,61987CJ0102,CITES
32000D0797,61987CJ0094,CITES
32000D0797,31999R0659,CITES
32000D0797,31999D0720,CITES
32000D0797,61996TJ0158,CITES
32000D0797,31998Y1210(01),CITES
32000D0797,31989S0322,CITES
32000D0797,11997E088,CITES
32000D0797,61996CJ0127,CITES
32000D0797,31991S3855,CITES
32000D0797,61996TJ0106,CITES
32001D0146,31985R0123,CITES
32001D0146,31998D0273,CITES
32001D0146,31982D0367,CITES
32001D0146,61998CC0283,CITES
32001D0146,11997E256,CITES
32001D0146,61977CJ0019,CITES
32001D0146,31998R2842,CITES
32001D0146,61994TJ0141,CITES
32001D0146,61984CJ0025,CITES
32001D0146,31985D0617,CITES
32001D0146,31973D0322,CITES
32001D0146,61982CJ0107,CITES
32001D0146,31984D0405,CITES
32001D0146,61998TJ0062,CITES
32001D0146,31995R1475,CITES
32001D0146,61993CJ0266,CITES
32001D0146,61982CJ0086,CITES
32001D0146,31985D0079,CITES
32001D0146,31985Y0118(01),CITES
32001D0146,61989TJ0143,CITES
32001D0146,11997E081,CITES
31998D0348,21997A1218(02),CITES
31998D0348,31997D0832,CITES
31998D0348,31997D0831,CITES
32002D0404,32001R2529,CITES
32002D0404,31992R3950,CITES
32002D0404,31999R1251,CITES
32002D0404,11994N143,CITES
32002D0404,31999R1254,CITES
32002D0404,32001R1260,CITES
32002D0014,61979CJ0730,CITES
32002D0014,11997E087,CITES
32002D0014,61973CJ0120,CITES
32002D0014,31996D0631,CITES
32002D0014,61992CJ0278,CITES
32002D0014,61985CJ0067,CITES
32002D0014,61987CJ0102,CITES
32002D0014,61983CJ0290,CITES
32002D0014,61990CJ0324,CITES
32002D0014,61985CJ0310,CITES
32002D0014,61982CJ0323,CITES
32002D0014,31993D0193,CITES
32002D0014,C1995/283/03,CITES
32002D0014,61995CJ0024,CITES
32002D0014,61994TJ0067,CITES
32002D0014,61994CJ0241,CITES
32002D0014,C1998/301/04,CITES
32002D0014,61989CJ0305,CITES
32002D0014,31997Y0710(01),CITES
32002D0014,31999R0659,CITES
32002D0014,61989CJ0005,CITES
32002D0014,61977CJ0082,CITES
32002D0014,61972CJ0070,CITES
32002D0014,31993Y1113(01),CITES
32002D0014,61984CJ0248,CITES
32002D0014,61991CJ0072,CITES
32002D0014,51988DC0232,CITES
32002D0014,61997CJ0295,CITES
32002D0014,61985CJ0040,CITES
32002D0014,31985D0018,CITES
32002D0014,61990CJ0312,CITES
32002D0014,61987CJ0142,CITES
32002D0149,61997TJ0613,CITES
32002D0149,61999CJ0205,CITES
32002D0149,C1999/306/02,CITES
32002D0149,C1999/062/10,CITES
32002D0149,31992R3577,CITES
32002D0149,31999R0659,CITES
32002D0149,C1997/205/05,CITES
32002D0149,61998CJ0332,CITES
32002D0149,31998Y0310(01),CITES
32002D0149,11997E087,CITES
32002D0149,C2001/117/07,CITES
32002D0149,61995TJ0106,CITES
32002D0149,61994CJ0039,CITES
32002D0149,52000DC0099,CITES
32002D0149,31986R4055,CITES
32003D0849,31999R1258,CITES
32003D0849,32003D0743,CITES
32003D0849,31992L0117,CITES
32003D0849,31998R2799,CITES
32003D0849,31990D0638,CITES
32002D0190,61982CJ0043,CITES
32002D0190,31983R1983,CITES
32002D0190,31993D0049,CITES
32002D0190,31998M1235,CITES
32002D0190,11997E081,CITES
32002D0190,31999R2790,CITES
32002D0190,31997Y1209(01),CITES
32002D0190,11997E256,CITES
32002D0190,61978CJ0209,CITES
32002D0190,31998M1094,CITES
32002D0190,31962R0027,CITES
32002D0190,31963R0099,CITES
32002D0190,31985R0123,CITES
32002D0190,11997E085,CITES
32002D0190,31998R2842,CITES
32002D0190,31999M1571,CITES
32002D0190,31968R1133,CITES
32002D0190,31975D0073,CITES
32002D0190,31995R1475,CITES
32003D0668,31998L0030,CITES
32003D0668,52003XX0930(01),CITES
32003D0668,32001D0519,CITES
32003D0668,52001XC0302(01),CITES
32003D0668,32002D0164,CITES
32003D0653,31990L0220,CITES
