id:ID,url,name,eurovoc_concepts:STRING[],domains:STRING[],subdomains:STRING[],:LABEL
http://eurovoc.europa.eu/100184,http://eurovoc.europa.eu/100184,1236 rights and freedoms,12 LAW;1236 rights and freedoms,12 LAW,1236 rights and freedoms,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100185,http://eurovoc.europa.eu/100185,1606 economic policy,1606 economic policy;16 ECONOMICS,16 ECONOMICS,1606 economic policy,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100186,http://eurovoc.europa.eu/100186,1611 economic conditions,16 ECONOMICS;1611 economic conditions,16 ECONOMICS,1611 economic conditions,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100187,http://eurovoc.europa.eu/100187,1616 regions and regional policy,16 ECONOMICS;1616 regions and regional policy,16 ECONOMICS,1616 regions and regional policy,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100188,http://eurovoc.europa.eu/100188,1621 economic structure,1621 economic structure;16 ECONOMICS,16 ECONOMICS,1621 economic structure,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100189,http://eurovoc.europa.eu/100189,1626 national accounts,16 ECONOMICS;1626 national accounts,16 ECONOMICS,1626 national accounts,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100190,http://eurovoc.europa.eu/100190,1631 economic analysis,1631 economic analysis;16 ECONOMICS,16 ECONOMICS,1631 economic analysis,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100191,http://eurovoc.europa.eu/100191,2006 trade policy,20 TRADE;2006 trade policy,20 TRADE,2006 trade policy,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100192,http://eurovoc.europa.eu/100192,2011 tariff policy,2011 tariff policy;20 TRADE,20 TRADE,2011 tariff policy,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100193,http://eurovoc.europa.eu/100193,2016 trade,20 TRADE;2016 trade,20 TRADE,2016 trade,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100194,http://eurovoc.europa.eu/100194,2021 international trade,2021 international trade;20 TRADE,20 TRADE,2021 international trade,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100195,http://eurovoc.europa.eu/100195,2026 consumption,2026 consumption;20 TRADE,20 TRADE,2026 consumption,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100196,http://eurovoc.europa.eu/100196,2031 marketing,20 TRADE;2031 marketing,20 TRADE,2031 marketing,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100197,http://eurovoc.europa.eu/100197,2036 distributive trades,20 TRADE;2036 distributive trades,20 TRADE,2036 distributive trades,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100198,http://eurovoc.europa.eu/100198,2406 monetary relations,24 FINANCE;2406 monetary relations,24 FINANCE,2406 monetary relations,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100199,http://eurovoc.europa.eu/100199,2411 monetary economics,24 FINANCE;2411 monetary economics,24 FINANCE,2411 monetary economics,EurovocConcept;SubDomain
http://eurovoc.europa.eu/1002,http://eurovoc.europa.eu/1002,long-term financing,financing;2426 financing and investment;24 FINANCE;long-term financing,24 FINANCE,2426 financing and investment,EurovocConcept
http://eurovoc.europa.eu/100200,http://eurovoc.europa.eu/100200,2416 financial institutions and credit,2416 financial institutions and credit;24 FINANCE,24 FINANCE,2416 financial institutions and credit,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100201,http://eurovoc.europa.eu/100201,2421 free movement of capital,24 FINANCE;2421 free movement of capital,24 FINANCE,2421 free movement of capital,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100202,http://eurovoc.europa.eu/100202,2426 financing and investment,2426 financing and investment;24 FINANCE,24 FINANCE,2426 financing and investment,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100203,http://eurovoc.europa.eu/100203,2431 insurance,2431 insurance;24 FINANCE,24 FINANCE,2431 insurance,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100204,http://eurovoc.europa.eu/100204,2436 public finance and budget policy,2436 public finance and budget policy;24 FINANCE,24 FINANCE,2436 public finance and budget policy,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100205,http://eurovoc.europa.eu/100205,2441 budget,2441 budget;24 FINANCE,24 FINANCE,2441 budget,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100206,http://eurovoc.europa.eu/100206,2446 taxation,2446 taxation;24 FINANCE,24 FINANCE,2446 taxation,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100207,http://eurovoc.europa.eu/100207,2451 prices,24 FINANCE;2451 prices,24 FINANCE,2451 prices,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100208,http://eurovoc.europa.eu/100208,2806 family,28 SOCIAL QUESTIONS;2806 family,28 SOCIAL QUESTIONS,2806 family,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100209,http://eurovoc.europa.eu/100209,2811 migration,28 SOCIAL QUESTIONS;2811 migration,28 SOCIAL QUESTIONS,2811 migration,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100210,http://eurovoc.europa.eu/100210,2816 demography and population,28 SOCIAL QUESTIONS;2816 demography and population,28 SOCIAL QUESTIONS,2816 demography and population,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100211,http://eurovoc.europa.eu/100211,2821 social framework,28 SOCIAL QUESTIONS;2821 social framework,28 SOCIAL QUESTIONS,2821 social framework,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100212,http://eurovoc.europa.eu/100212,2826 social affairs,28 SOCIAL QUESTIONS;2826 social affairs,28 SOCIAL QUESTIONS,2826 social affairs,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100213,http://eurovoc.europa.eu/100213,2831 culture and religion,28 SOCIAL QUESTIONS;2831 culture and religion,28 SOCIAL QUESTIONS,2831 culture and religion,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100214,http://eurovoc.europa.eu/100214,2836 social protection,28 SOCIAL QUESTIONS;2836 social protection,28 SOCIAL QUESTIONS,2836 social protection,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100215,http://eurovoc.europa.eu/100215,2841 health,28 SOCIAL QUESTIONS;2841 health,28 SOCIAL QUESTIONS,2841 health,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100216,http://eurovoc.europa.eu/100216,2846 construction and town planning,28 SOCIAL QUESTIONS;2846 construction and town planning,28 SOCIAL QUESTIONS,2846 construction and town planning,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100217,http://eurovoc.europa.eu/100217,3206 education,32 EDUCATION AND COMMUNICATIONS;3206 education,32 EDUCATION AND COMMUNICATIONS,3206 education,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100218,http://eurovoc.europa.eu/100218,3211 teaching,3211 teaching;32 EDUCATION AND COMMUNICATIONS,32 EDUCATION AND COMMUNICATIONS,3211 teaching,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100219,http://eurovoc.europa.eu/100219,3216 organisation of teaching,32 EDUCATION AND COMMUNICATIONS;3216 organisation of teaching,32 EDUCATION AND COMMUNICATIONS,3216 organisation of teaching,EurovocConcept;SubDomain
