celex,articolo_id,lamf_L1,lamf_L2,lamf_L3,lamf_L4,n_tokens_labeled,n_fragments,entropy,dominant_lamf
32022R2560,25,24.236983842010773,21.005385996409334,0.0,54.75763016157989,557,20,0.7221081077712819,L4
32022R2560,26,20.46783625730994,0.0,0.0,79.53216374269006,171,8,0.36559335540633586,L4
32022R2560,27,15.126050420168067,84.87394957983193,0.0,0.0,119,1,0.30649287271592845,L2
32022R2560,28,31.72690763052209,68.27309236947791,0.0,0.0,498,12,0.450693458066445,L2
32022R2560,29,2.2020725388601035,53.36787564766839,0.0,44.4300518134715,772,9,0.5623597986604015,L2
32022R2560,3,72.5925925925926,27.40740740740741,0.0,0.0,270,9,0.4236250591139739,L1
32022R2560,30,7.894736842105263,84.21052631578948,0.0,7.894736842105263,228,7,0.3935719781850273,L2
32022R2560,31,1.477832512315271,25.123152709359605,0.0,73.39901477832512,203,5,0.45901108575964944,L4
32022R2560,32,17.670682730923694,61.64658634538153,0.0,20.68273092369478,498,9,0.6711629575762241,L2
32022R2560,33,2.5806451612903225,0.0,0.0,97.41935483870968,155,6,0.08645215074898208,L4
32022R2560,34,100.0,0.0,0.0,0.0,86,1,0.0,L1
32022R2560,35,3.067484662576687,28.834355828220858,11.042944785276074,57.05521472392638,163,4,0.7422299148366078,L4
32022R2560,36,12.222222222222221,21.11111111111111,16.11111111111111,50.55555555555556,180,5,0.883094594619287,L4
32022R2560,37,69.71830985915493,0.0,0.0,30.281690140845072,142,3,0.4423535236615067,L1
32022R2560,38,0.0,0.0,0.0,100.0,353,7,0.0,L4
32022R2560,39,0.0,31.95876288659794,0.0,68.04123711340206,97,1,0.45196622635369843,L4
32022R2560,4,26.31578947368421,73.6842105263158,0.0,0.0,228,10,0.4157371925621695,L2
32022R2560,40,0.0,100.0,0.0,0.0,110,1,0.0,L2
32022R2560,41,3.90625,0.0,0.0,96.09375,128,4,0.11898857421682327,L4
32022R2560,42,2.3026315789473686,13.81578947368421,0.0,83.88157894736842,304,5,0.3662516778963687,L4
32022R2560,43,17.93103448275862,24.137931034482758,0.0,57.93103448275862,145,5,0.6979166056773624,L4
32022R2560,44,100.0,0.0,0.0,0.0,349,11,0.0,L1
32022R2560,45,0.0,0.0,0.0,100.0,53,1,0.0,L4
32022R2560,46,32.83582089552239,27.611940298507463,39.55223880597015,0.0,134,6,0.7847440339597623,L3
32022R2560,47,3.90625,96.09375,0.0,0.0,256,12,0.11898857421682327,L2
32022R2560,48,100.0,0.0,0.0,0.0,35,1,0.0,L1
32022R2560,49,14.348462664714495,50.29282576866764,0.43923865300146414,34.919472913616396,1366,39,0.7325167716756247,L2
32022R2560,5,67.41071428571429,32.589285714285715,0.0,0.0,224,8,0.45533748539787444,L1
32022R2560,50,85.94164456233422,14.058355437665783,0.0,0.0,377,9,0.292882523591547,L1
32022R2560,51,100.0,0.0,0.0,0.0,29,1,0.0,L1
32022R2560,52,34.285714285714285,65.71428571428571,0.0,0.0,280,9,0.463763292773143,L2
32022R2560,53,66.17647058823529,33.8235294117647,0.0,0.0,136,5,0.4615599903284552,L1
32022R2560,54,100.0,0.0,0.0,0.0,96,1,0.0,L1
32022R2560,6,0.0,0.0,70.43478260869566,29.565217391304348,115,1,0.43795551604616145,L3
32022R2560,7,13.972602739726028,58.63013698630137,0.0,27.397260273972602,365,16,0.6800499596403813,L2
32022R2560,8,48.57142857142857,0.0,0.0,51.42857142857143,35,1,0.4997055309266826,L4
32022R2560,9,28.37837837837838,71.62162162162163,0.0,0.0,74,1,0.4302776950866209,L2
32023R1441,1,13.846153846153847,86.15384615384616,0.0,0.0,130,2,0.2900977462391734,L2
32023R1441,10,0.0,77.97619047619048,0.0,22.023809523809526,168,5,0.3803010083702651,L2
32023R1441,11,28.571428571428573,52.77777777777778,0.0,18.650793650793652,252,3,0.7274240070971187,L2
32023R1441,12,0.0,100.0,0.0,0.0,182,4,0.0,L2
32023R1441,13,0.0,100.0,0.0,0.0,219,5,0.0,L2
32023R1441,14,0.0,100.0,0.0,0.0,192,4,0.0,L2
32023R1441,15,11.39240506329114,88.60759493670886,0.0,0.0,158,5,0.25581989037289143,L2
32023R1441,16,65.10416666666667,34.895833333333336,0.0,0.0,192,6,0.4665671568776965,L1
32023R1441,17,3.237410071942446,60.79136690647482,0.0,35.97122302158273,278,5,0.563672748726232,L2
32023R1441,18,38.423645320197046,61.576354679802954,0.0,0.0,203,4,0.4804896107114294,L2
32023R1441,19,24.031007751937985,75.96899224806202,0.0,0.0,645,14,0.3977777722174455,L2
32023R1441,2,100.0,0.0,0.0,0.0,151,1,0.0,L1
32023R1441,20,38.8739946380697,26.273458445040216,0.0,34.85254691689008,1119,21,0.7832636311952721,L1
32023R1441,21,0.0,100.0,0.0,0.0,35,1,0.0,L2
32023R1441,22,0.0,100.0,0.0,0.0,46,1,0.0,L2
32023R1441,23,8.093525179856115,43.884892086330936,0.0,48.02158273381295,556,13,0.6615936336035056,L4
32023R1441,24,0.0,100.0,0.0,0.0,100,1,0.0,L2
32023R1441,25,3.470715835140998,91.54013015184381,0.0,4.989154013015185,461,11,0.2504006409099069,L2
32023R1441,26,0.0,100.0,0.0,0.0,285,7,0.0,L2
32023R1441,27,100.0,0.0,0.0,0.0,28,1,0.0,L1
32023R1441,3,96.11650485436893,3.883495145631068,0.0,0.0,206,4,0.11846237191648049,L1
32023R1441,4,0.0,100.0,0.0,0.0,209,6,0.0,L2
32023R1441,5,0.0,100.0,0.0,0.0,490,7,0.0,L2
32023R1441,6,15.811965811965813,76.4957264957265,0.0,7.6923076923076925,234,5,0.5005425100111327,L2
32023R1441,7,0.0,100.0,0.0,0.0,563,5,0.0,L2
32023R1441,8,0.0,100.0,0.0,0.0,175,4,0.0,L2
32023R1441,9,0.0,100.0,0.0,0.0,95,1,0.0,L2
32023R1472,1,100.0,0.0,0.0,0.0,91,1,0.0,L1
32023R1472,2,100.0,0.0,0.0,0.0,26,1,0.0,L1
32023R2414,1,30.434782608695652,69.56521739130434,0.0,0.0,69,1,0.44327044496834994,L2
32023R2414,2,100.0,0.0,0.0,0.0,24,1,0.0,L1
32024R3104,1,100.0,0.0,0.0,0.0,20,1,0.0,L1
32024R3104,2,100.0,0.0,0.0,0.0,42,1,0.0,L1
