domain,hybridity_threshold,min_articles,min_block,min_improvement,n_candidates,n_accepted_pre_validation,H_before_paired,H_after_paired,relative_reduction,canonical_thresholds,stage
appalti_it,0.3,10,3,0.3,20,15,0.45127298065962196,0.30384909983105834,0.32668448399697086,False,deterministic_pre_validation
appalti_it,0.3,10,3,0.35,20,14,0.45127298065962196,0.3099634464378135,0.3131353754334184,False,deterministic_pre_validation
appalti_it,0.3,10,4,0.25,20,15,0.45127298065962196,0.32197892607732437,0.2865096296997652,False,deterministic_pre_validation
appalti_it,0.3,10,4,0.3,20,14,0.45127298065962196,0.3280858853556262,0.27297689111352114,False,deterministic_pre_validation
appalti_it,0.3,10,4,0.35,20,12,0.45127298065962196,0.3413904966022095,0.24349448951452435,False,deterministic_pre_validation
appalti_it,0.3,10,5,0.25,20,15,0.45127298065962196,0.32197892607732437,0.2865096296997652,False,deterministic_pre_validation
appalti_it,0.3,10,5,0.3,20,14,0.45127298065962196,0.3280858853556262,0.27297689111352114,False,deterministic_pre_validation
appalti_it,0.3,10,5,0.35,20,12,0.45127298065962196,0.3413904966022095,0.24349448951452435,False,deterministic_pre_validation
appalti_it,0.35,6,3,0.25,20,16,0.45127298065962196,0.2965511120245434,0.3428564865747622,False,deterministic_pre_validation
appalti_it,0.35,6,3,0.3,20,14,0.45127298065962196,0.309203666889723,0.31481901168165977,False,deterministic_pre_validation
appalti_it,0.35,6,3,0.35,20,13,0.45127298065962196,0.31531801349647814,0.3012699031181073,False,deterministic_pre_validation
appalti_it,0.35,6,4,0.25,20,14,0.45127298065962196,0.32733349313598903,0.27464415738445414,False,deterministic_pre_validation
appalti_it,0.35,6,4,0.3,20,13,0.45127298065962196,0.3334404524142909,0.26111141879821004,False,deterministic_pre_validation
appalti_it,0.35,6,4,0.35,20,11,0.45127298065962196,0.34674506366087415,0.23162901719921325,False,deterministic_pre_validation
appalti_it,0.35,6,5,0.25,20,14,0.45127298065962196,0.32733349313598903,0.27464415738445414,False,deterministic_pre_validation
appalti_it,0.35,6,5,0.3,20,13,0.45127298065962196,0.3334404524142909,0.26111141879821004,False,deterministic_pre_validation
appalti_it,0.35,6,5,0.35,20,11,0.45127298065962196,0.34674506366087415,0.23162901719921325,False,deterministic_pre_validation
appalti_it,0.35,8,3,0.25,20,16,0.45127298065962196,0.2965511120245434,0.3428564865747622,False,deterministic_pre_validation
appalti_it,0.35,8,3,0.3,20,14,0.45127298065962196,0.309203666889723,0.31481901168165977,False,deterministic_pre_validation
appalti_it,0.35,8,3,0.35,20,13,0.45127298065962196,0.31531801349647814,0.3012699031181073,False,deterministic_pre_validation
appalti_it,0.35,8,4,0.25,20,14,0.45127298065962196,0.32733349313598903,0.27464415738445414,False,deterministic_pre_validation
appalti_it,0.35,8,4,0.3,20,13,0.45127298065962196,0.3334404524142909,0.26111141879821004,True,deterministic_pre_validation
appalti_it,0.35,8,4,0.35,20,11,0.45127298065962196,0.34674506366087415,0.23162901719921325,False,deterministic_pre_validation
appalti_it,0.35,8,5,0.25,20,14,0.45127298065962196,0.32733349313598903,0.27464415738445414,False,deterministic_pre_validation
appalti_it,0.35,8,5,0.3,20,13,0.45127298065962196,0.3334404524142909,0.26111141879821004,False,deterministic_pre_validation
appalti_it,0.35,8,5,0.35,20,11,0.45127298065962196,0.34674506366087415,0.23162901719921325,False,deterministic_pre_validation
appalti_it,0.35,10,3,0.25,19,16,0.45127298065962196,0.2965511120245434,0.3428564865747622,False,deterministic_pre_validation
appalti_it,0.35,10,3,0.3,19,14,0.45127298065962196,0.309203666889723,0.31481901168165977,False,deterministic_pre_validation
appalti_it,0.35,10,3,0.35,19,13,0.45127298065962196,0.31531801349647814,0.3012699031181073,False,deterministic_pre_validation
appalti_it,0.35,10,4,0.25,19,14,0.45127298065962196,0.32733349313598903,0.27464415738445414,False,deterministic_pre_validation
appalti_it,0.35,10,4,0.3,19,13,0.45127298065962196,0.3334404524142909,0.26111141879821004,False,deterministic_pre_validation
