source,target,type
http://eurovoc.europa.eu/100160,http://eurovoc.europa.eu/100273,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100157,http://eurovoc.europa.eu/100258,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100148,http://eurovoc.europa.eu/100203,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100146,http://eurovoc.europa.eu/100185,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100144,http://eurovoc.europa.eu/100176,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100149,http://eurovoc.europa.eu/100214,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100161,http://eurovoc.europa.eu/100283,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100143,http://eurovoc.europa.eu/100170,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100152,http://eurovoc.europa.eu/100226,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100159,http://eurovoc.europa.eu/100267,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100151,http://eurovoc.europa.eu/100225,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100162,http://eurovoc.europa.eu/100286,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100161,http://eurovoc.europa.eu/100277,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100148,http://eurovoc.europa.eu/100202,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100161,http://eurovoc.europa.eu/100284,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100150,http://eurovoc.europa.eu/100222,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100160,http://eurovoc.europa.eu/100270,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100157,http://eurovoc.europa.eu/100255,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100153,http://eurovoc.europa.eu/100234,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100154,http://eurovoc.europa.eu/100239,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100149,http://eurovoc.europa.eu/100212,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100145,http://eurovoc.europa.eu/100181,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100154,http://eurovoc.europa.eu/100237,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100147,http://eurovoc.europa.eu/100193,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100149,http://eurovoc.europa.eu/100208,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100147,http://eurovoc.europa.eu/100196,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100160,http://eurovoc.europa.eu/100275,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100154,http://eurovoc.europa.eu/100241,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100144,http://eurovoc.europa.eu/100174,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100161,http://eurovoc.europa.eu/100279,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100150,http://eurovoc.europa.eu/100217,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100143,http://eurovoc.europa.eu/100172,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100149,http://eurovoc.europa.eu/100215,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100160,http://eurovoc.europa.eu/100269,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100147,http://eurovoc.europa.eu/100197,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/1800,http://eurovoc.europa.eu/770,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/4705,http://eurovoc.europa.eu/7341,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/3278,http://eurovoc.europa.eu/c_243b7be2,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/4554,http://eurovoc.europa.eu/3606,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/4554,http://eurovoc.europa.eu/446,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/2188,http://eurovoc.europa.eu/2201,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/2188,http://eurovoc.europa.eu/25,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/4479,http://eurovoc.europa.eu/4035,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/525,http://eurovoc.europa.eu/2897,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/525,http://eurovoc.europa.eu/5498,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/285,http://eurovoc.europa.eu/289,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/637,http://eurovoc.europa.eu/653,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/317,http://eurovoc.europa.eu/4873,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/317,http://eurovoc.europa.eu/5996,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/2688,http://eurovoc.europa.eu/2023,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/3257,http://eurovoc.europa.eu/1244,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/3257,http://eurovoc.europa.eu/1454,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/2459,http://eurovoc.europa.eu/6563,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/5283,http://eurovoc.europa.eu/5063,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/5283,http://eurovoc.europa.eu/2543,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/1794,http://eurovoc.europa.eu/1842,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/5776,http://eurovoc.europa.eu/4572,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/8366,http://eurovoc.europa.eu/3858,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/8366,http://eurovoc.europa.eu/6278,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/8366,http://eurovoc.europa.eu/4160,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/8366,http://eurovoc.europa.eu/2037,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/1844,http://eurovoc.europa.eu/691,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/5083,http://eurovoc.europa.eu/3415,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/5083,http://eurovoc.europa.eu/993,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/5265,http://eurovoc.europa.eu/4342,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/5265,http://eurovoc.europa.eu/4816,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/187,http://eurovoc.europa.eu/2084,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/c_964c9649,http://eurovoc.europa.eu/1355,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/6205,http://eurovoc.europa.eu/4160,PARENT_CONCEPT_OF
