Source,Target,Type,start_year,end_year
31998Y0604(02),31996Y1211(02),CITES,1998.0,1996.0
32008L0048,12006E095,BASED_ON,2008.0,2006.0
32008L0048,12006E251,BASED_ON,2008.0,2006.0
32022D0173,32018L1972,BASED_ON,2022.0,2018.0
32005D0864,31991L0414,BASED_ON,2005.0,1991.0
32020R2093,12016E312,BASED_ON,2020.0,2016.0
32020R2093,12016A106BIS,BASED_ON,2020.0,2016.0
32012D0369,12010E126,BASED_ON,2012.0,2010.0
32019D1912,12016E100,BASED_ON,2019.0,2016.0
32019D1912,12016E218,BASED_ON,2019.0,2016.0
32018D1782,32013R0390,BASED_ON,2018.0,2013.0
32018R0223,32004R0314,BASED_ON,2018.0,2004.0
32013H0730(15),12012E121,BASED_ON,2013.0,2012.0
32013H0730(15),31997R1466,BASED_ON,2013.0,1997.0
32013H0730(15),32011R1176,BASED_ON,2013.0,2011.0
32013H0730(15),12012E148,BASED_ON,2013.0,2012.0
32015D0017,32014R1163,BASED_ON,2015.0,2014.0
32021L2167,12016E114,BASED_ON,2021.0,2016.0
32021L2167,12016E053,BASED_ON,2021.0,2016.0
32007D0580,12006E088,BASED_ON,2007.0,2006.0
32018D1723,32013R1315,BASED_ON,2018.0,2013.0
32010D0424(07),32004R0883,BASED_ON,2010.0,2004.0
32021R1840,32020R2174,CITES,2021.0,2020.0
32022D0765,32021D0891,CITES,2022.0,2021.0
32022D0765,32019D0903,CITES,2022.0,2019.0
32010R0255,32004R0551,BASED_ON,2010.0,2004.0
32022D0679,32020L2184,BASED_ON,2022.0,2020.0
32022D0729,32012R1025,BASED_ON,2022.0,2012.0
32014R0183,32013R0575,BASED_ON,2014.0,2013.0
32024R1610,12016E192,BASED_ON,2024.0,2016.0
32024R1205,12016E215,BASED_ON,2024.0,2016.0
32024R1307,12016E114,BASED_ON,2024.0,2016.0
32024R1307,12016E016,BASED_ON,2024.0,2016.0
32008E0348,12006M015,BASED_ON,2008.0,2006.0
32019D0762,12016M042,BASED_ON,2019.0,2016.0
32019D0762,12016M043,BASED_ON,2019.0,2016.0
32009D1007,32006Q0614(01),BASED_ON,2009.0,2006.0
32017D1177,12016M038,BASED_ON,2017.0,2016.0
32017D0046,12016E249,BASED_ON,2017.0,2016.0
32017D2162,12016M028,BASED_ON,2017.0,2016.0
32017D2162,12016M042,BASED_ON,2017.0,2016.0
32017D2162,12016M043,BASED_ON,2017.0,2016.0
31999D0498,31998L0013,BASED_ON,1999.0,1998.0
32024R3005,12016E114,BASED_ON,2024.0,2016.0
32024R1252,12016E114,BASED_ON,2024.0,2016.0
32024R3144,32019R0881,BASED_ON,2024.0,2019.0
31989L0391,11957E149,BASED_ON,1989.0,1957.0
32024R1106,12016E194,BASED_ON,2024.0,2016.0
32019L0171,32011L0065,BASED_ON,2019.0,2011.0
32020L2020,12016E113,BASED_ON,2020.0,2016.0
32022D0335,12016M029,BASED_ON,2022.0,2016.0
32011Y0224(01),32010R1092,BASED_ON,2011.0,2010.0
32013D0788,32006Q0614(01),BASED_ON,2013.0,2006.0
32013D0788,32006R1927,BASED_ON,2013.0,2006.0
32024R1109,32018R1139,BASED_ON,2024.0,2018.0
31991L0675,11957E057,BASED_ON,1991.0,1957.0
31991L0675,11957E149,BASED_ON,1991.0,1957.0
32021R0654,32018L1972,BASED_ON,2021.0,2018.0
32020R1228,32017R2402,BASED_ON,2020.0,2017.0
32021D0477,32003R2160,BASED_ON,2021.0,2003.0
32022R0782,32022R0692,CITES,2022.0,2022.0
32010L0040,12010E294,BASED_ON,2010.0,2010.0
32010L0040,12010E091,BASED_ON,2010.0,2010.0
32018L0850,12016E192,BASED_ON,2018.0,2016.0
32003L0087,12002E251,BASED_ON,2003.0,2002.0
32003L0087,12002E175,BASED_ON,2003.0,2002.0
32006D1672,12002E013,BASED_ON,2006.0,2002.0
32006D1672,12002E251,BASED_ON,2006.0,2002.0
32022R2065,12016E114,BASED_ON,2022.0,2016.0
32014D0930(01),12012E223,BASED_ON,2014.0,2012.0
32014D0930(01),32011Q0505(01),BASED_ON,2014.0,2011.0
32009D0517,12006E080,BASED_ON,2009.0,2006.0
32009D0517,12006E300,BASED_ON,2009.0,2006.0
32021D2293,12016E087,BASED_ON,2021.0,2016.0
32021D2293,12016E218,BASED_ON,2021.0,2016.0
32021D2293,12016E016,BASED_ON,2021.0,2016.0
32021D2293,32021D0689,BASED_ON,2021.0,2021.0
32022R0123,12016E114,BASED_ON,2022.0,2016.0
32022R0123,12016E168,BASED_ON,2022.0,2016.0
32012R0260,12010E114,BASED_ON,2012.0,2010.0
32012R0260,12010E294,BASED_ON,2012.0,2010.0
32017R1145,32003R1831,BASED_ON,2017.0,2003.0
32016L0797,12012E091,BASED_ON,2016.0,2012.0
32018R0871,32005R2111,BASED_ON,2018.0,2005.0
32007R1441,32004R0852,BASED_ON,2007.0,2004.0
32024R1157,12016E192,BASED_ON,2024.0,2016.0
32002L0058,11997E095,BASED_ON,2002.0,1997.0
32002L0058,11997E251,BASED_ON,2002.0,1997.0
32016R1014,12016E114,BASED_ON,2016.0,2016.0
32015D0038,12012E132,BASED_ON,2015.0,2012.0
32015D0038,12012E127,BASED_ON,2015.0,2012.0
32016R0631,32009R0714,BASED_ON,2016.0,2009.0
32008D0170,32002R2342,BASED_ON,2008.0,2002.0
32008D0170,32004D0858,BASED_ON,2008.0,2004.0
32008D0170,12006E152,BASED_ON,2008.0,2006.0
32008D0170,32007R1351,BASED_ON,2008.0,2007.0
32008D0170,32002R1605,BASED_ON,2008.0,2002.0
32017D1406,32013R1285,BASED_ON,2017.0,2013.0
32020D0547,32013Q1220(01),BASED_ON,2020.0,2013.0
32021D0592,12016E192,BASED_ON,2021.0,2016.0
32021D0592,12016E218,BASED_ON,2021.0,2016.0
32020D0663,12016M043,BASED_ON,2020.0,2016.0
32020D0663,12016M042,BASED_ON,2020.0,2016.0
32010L0040R(01),32010L0040,CORRECTS,2010.0,2010.0
32006R1907R(11),32006R1907,CORRECTS,2006.0,2006.0
32017R0207R(01),32017R0207,CORRECTS,2017.0,2017.0
32025D1039,32004R0549,BASED_ON,2025.0,2004.0
32003D0751,31971R1408,BASED_ON,2003.0,1971.0
32003D0751,31972R0574,BASED_ON,2003.0,1972.0
32001D0022,31998L0010,BASED_ON,2001.0,1998.0
