:ID,celex_id,celex_clean,work_title,year_final,legal_type_normalized,era,decade,eurovoc_concepts:STRING[],domains:STRING[],subdomains:STRING[],url,sector,sector_label,resource_legal_type,legal_type_class,n_eurovoc_concepts
32017R1004R(02),32017R1004R(02),32017R1004R02,,2017.0,Regulation,Late 2010s,2010.0,"EU action;EU programme;fisheries policy;3236 information technology and data processing;56 AGRICULTURE, FORESTRY AND FISHERIES;10 EUROPEAN UNION;fishing industry;deepening of the European Union;32 EDUCATION AND COMMUNICATIONS;common fisheries policy;data collection;5641 fisheries;EU activity;1016 European construction;data processing;fishery resources","32 EDUCATION AND COMMUNICATIONS;56 AGRICULTURE, FORESTRY AND FISHERIES;10 EUROPEAN UNION",5641 fisheries;3236 information technology and data processing;1016 European construction,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R1004R(02),3,LegalAct,,Regulation,16
32017R1105,32017R1105,32017R1105,,2017.0,Regulation,Late 2010s,2010.0,"4006 business organisation;civil law;claim;financial solvency;business activity;judicial cooperation in civil matters in the EU;08 INTERNATIONAL RELATIONS;3231 information and information processing;judicial proceedings;contract;guarantee;10 EUROPEAN UNION;0811 cooperation policy;law of obligations;12 LAW;1011 European Union law;cross-border cooperation;1016 European construction;1211 civil law;3221 documentation;area of freedom, security and justice;1221 justice;exchange of information;cooperation policy;European Union;40 BUSINESS AND COMPETITION;EU legal system;document;32 EDUCATION AND COMMUNICATIONS;liquidation;mutual recognition principle;EU law - national law;information;form",40 BUSINESS AND COMPETITION;32 EDUCATION AND COMMUNICATIONS;08 INTERNATIONAL RELATIONS;12 LAW;10 EUROPEAN UNION,4006 business organisation;3221 documentation;1221 justice;3231 information and information processing;1011 European Union law;0811 cooperation policy;1016 European construction;1211 civil law,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R1105,3,LegalAct,,Regulation,34
32017R1145R(01),32017R1145R(01),32017R1145R01,,2017.0,Regulation,Late 2010s,2010.0,"60 AGRI-FOODSTUFFS;6036 food technology;market approval;food additive;2006 trade policy;animal nutrition;withdrawal from the market;56 AGRICULTURE, FORESTRY AND FISHERIES;5631 agricultural activity;market support;animal feedingstuffs;market intervention;20 TRADE;2031 marketing;marketing;trade policy","60 AGRI-FOODSTUFFS;20 TRADE;56 AGRICULTURE, FORESTRY AND FISHERIES",5631 agricultural activity;6036 food technology;2031 marketing;2006 trade policy,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R1145R(01),3,LegalAct,,Regulation,16
32017R1352,32017R1352,32017R1352,,2017.0,Regulation,Late 2010s,2010.0,"76 INTERNATIONAL ORGANISATIONS;7621 world organisations;5211 natural environment;ocean;by-catch;08 INTERNATIONAL RELATIONS;fishing area;North-West Atlantic Fisheries Organisation;international instrument;fishing controls;fish;catch quota;world organisation;52 ENVIRONMENT;international convention;catch of fish;fisheries policy;fishing regulations;catch by species;56 AGRICULTURE, FORESTRY AND FISHERIES;geophysical environment;Atlantic Ocean;0806 international affairs;sea fish;5641 fisheries;sea fishing;fishing grounds;fishery resources","76 INTERNATIONAL ORGANISATIONS;52 ENVIRONMENT;08 INTERNATIONAL RELATIONS;56 AGRICULTURE, FORESTRY AND FISHERIES",7621 world organisations;0806 international affairs;5211 natural environment;5641 fisheries,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R1352,3,LegalAct,,Regulation,28
32017R1377R(01),32017R1377R(01),32017R1377R01,,2017.0,Regulation,Late 2010s,2010.0,marketing standard;5211 natural environment;organisation of health care;market approval;6811 chemistry;28 SOCIAL QUESTIONS;animal life;chemical product;public health;wildlife;health risk;wild mammal;5216 deterioration of the environment;2841 health;marketing;52 ENVIRONMENT;toxic substance;health policy;dangerous substance;20 TRADE;2031 marketing;nuisance;rodent;68 INDUSTRY;chemical industry,28 SOCIAL QUESTIONS;52 ENVIRONMENT;20 TRADE;68 INDUSTRY,6811 chemistry;5211 natural environment;5216 deterioration of the environment;2031 marketing;2841 health,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R1377R(01),3,LegalAct,,Regulation,25
32017R1381R(01),32017R1381R(01),32017R1381R01,,2017.0,Regulation,Late 2010s,2010.0,marketing standard;5211 natural environment;organisation of health care;market approval;6811 chemistry;28 SOCIAL QUESTIONS;animal life;chemical product;public health;wildlife;health risk;wild mammal;5216 deterioration of the environment;2841 health;marketing;52 ENVIRONMENT;toxic substance;health policy;dangerous substance;20 TRADE;2031 marketing;nuisance;rodent;68 INDUSTRY;chemical industry,28 SOCIAL QUESTIONS;52 ENVIRONMENT;20 TRADE;68 INDUSTRY,6811 chemistry;5211 natural environment;5216 deterioration of the environment;2031 marketing;2841 health,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R1381R(01),3,LegalAct,,Regulation,25
32017R1389,32017R1389,32017R1389,,2017.0,Regulation,Late 2010s,2010.0,,,,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R1389,3,LegalAct,,Regulation,0
32017R1431,32017R1431,32017R1431,,2017.0,Regulation,Late 2010s,2010.0,,,,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R1431,3,LegalAct,,Regulation,0
32017R1479,32017R1479,32017R1479,,2017.0,Regulation,Late 2010s,2010.0,food technology;2836 social protection;primary product;international trade;08 INTERNATIONAL RELATIONS;3231 information and information processing;2006 trade policy;quantitative restriction;storage of food;welfare;0811 cooperation policy;28 SOCIAL QUESTIONS;market support;2021 international trade;storage;stock;16 ECONOMICS;market intervention;trade restriction;aid to disadvantaged groups;trade policy;1626 national accounts;food aid;poverty;60 AGRI-FOODSTUFFS;6036 food technology;distribution of income;intervention stock;aid policy;exchange of information;non-tariff barrier;intervention buying;income;20 TRADE;32 EDUCATION AND COMMUNICATIONS;2036 distributive trades;private stock;information,28 SOCIAL QUESTIONS;60 AGRI-FOODSTUFFS;16 ECONOMICS;20 TRADE;32 EDUCATION AND COMMUNICATIONS;08 INTERNATIONAL RELATIONS,6036 food technology;2836 social protection;2021 international trade;2036 distributive trades;3231 information and information processing;2006 trade policy;0811 cooperation policy;1626 national accounts,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R1479,3,LegalAct,,Regulation,38
32017R1495R(03),32017R1495R(03),32017R1495R03,,2017.0,Regulation,Late 2010s,2010.0,"veterinary inspection;slaughtered poultry;meat;poultrymeat;food inspection;carcase;life sciences;28 SOCIAL QUESTIONS;5631 agricultural activity;3606 natural and applied sciences;animal production;food industry;5216 deterioration of the environment;nutrition;poultry;2841 health;6031 agri-foodstuffs;60 AGRI-FOODSTUFFS;52 ENVIRONMENT;food contamination;food safety;meat processing industry;56 AGRICULTURE, FORESTRY AND FISHERIES;36 SCIENCE;food hygiene;pollution;6011 animal product;biology;animal product;foodstuffs legislation;agricultural policy;microorganism;5606 agricultural policy;veterinary legislation","28 SOCIAL QUESTIONS;60 AGRI-FOODSTUFFS;52 ENVIRONMENT;56 AGRICULTURE, FORESTRY AND FISHERIES;36 SCIENCE",5631 agricultural activity;6031 agri-foodstuffs;3606 natural and applied sciences;6011 animal product;5216 deterioration of the environment;2841 health;5606 agricultural policy,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R1495R(03),3,LegalAct,,Regulation,34
