Id,Label,year,type,era,seed_concepts,indegree,outdegree,degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
31985L0611,31985L0611,1985,Directive,Pre-Single European Act,0,6,0,6,280,0,0,0,0
31986L0361,31986L0361,1986,Directive,Pre-Single European Act,0,2,0,2,59,0,0,0,0
31986R4055,31986R4055,1986,Regulation,Pre-Single European Act,0,3,5,8,50,3,0.7,0.833333,3211.642857
31988L0357,31988L0357,1988,Directive,Pre-Maastricht,0,5,0,5,280,0,0,0,0
31988R4253,31988R4253,1988,Regulation,Pre-Maastricht,0,10,0,10,266,0,0,0,0
31990R3359,31990R3359,1990,Regulation,Pre-Maastricht,0,1,0,1,17,0,0,0,0
31992R0443,31992R0443,1992,Regulation,Pre-Maastricht,0,2,0,2,329,0,0,0,0
31993L0043,31993L0043,1993,Directive,1990s,0,4,0,4,333,0,0,0,0
31994D0662,31994D0662,1994,Decision,1990s,0,1,8,9,84,1,1,1,5.5
31994L0458,31994L0458,1994,Directive,1990s,0,1,0,1,333,0,0,0,0
31996D0071,31996D0071,1996,Decision,1990s,0,1,0,1,59,0,0,0,0
31997D0529,31997D0529,1997,Decision,1990s,0,1,0,1,59,0,0,0,0
31998D0179,31998D0179,1998,Decision,1990s,0,3,0,3,231,0,0,0,0
31998D0365,31998D0365,1998,Decision,1990s,0,1,3,4,84,1,1,1,2
31998E0725,31998E0725,1998,Legislative_Act,1990s,0,1,0,1,291,0,0,0,0
31998L0081,31998L0081,1998,Directive,1990s,0,1,0,1,329,0,0,0,0
31999D0182,31999D0182,1999,Decision,1990s,0,2,0,2,177,0,0,0,0
31999R0468,31999R0468,1999,Regulation,1990s,0,2,0,2,333,0,0,0,0
32000D0532,32000D0532,2000,Decision,Early 2000s,0,3,0,3,50,0,0,0,0
32001F0413,32001F0413,2001,Legislative_Act,Early 2000s,0,3,0,3,331,0,0,0,0
32001L0065,32001L0065,2001,Directive,Early 2000s,0,1,0,1,280,0,0,0,0
32002D0844,32002D0844,2002,Decision,Early 2000s,0,1,0,1,84,0,0,0,0
32002H0590,32002H0590,2002,Legislative_Act,Early 2000s,0,1,0,1,324,0,0,0,0
32002R1774,32002R1774,2002,Regulation,Early 2000s,0,5,0,5,333,0,0,0,0
32003D0623,32003D0623,2003,Decision,Early 2000s,0,2,0,2,231,0,0,0,0
32003L0048,32003L0048,2003,Directive,Early 2000s,0,3,0,3,231,0,0,0,0
32003L0098,32003L0098,2003,Directive,Early 2000s,0,10,0,10,329,0,0,0,0
32003R1334,32003R1334,2003,Regulation,Early 2000s,0,1,2,3,333,2,0.75,0.833333,0
32004L0035,32004L0035,2004,Directive,Early 2000s,0,9,6,15,329,3,0.592593,0.677083,197.836363
32006D1672,32006D1672,2006,Decision,Late 2000s,0,2,3,5,329,1,1,1,232.117949
32006E0184,32006E0184,2006,Legislative_Act,Late 2000s,0,2,0,2,330,0,0,0,0
32006F0783R(01),32006F0783R01,2006,Regulation,Late 2000s,0,1,0,1,331,0,0,0,0
32006L0112,32006L0112,2006,Directive,Late 2000s,0,20,5,25,331,2,0.586207,0.647059,2588.279673
32006R1905,32006R1905,2006,Regulation,Late 2000s,0,1,0,1,325,0,0,0,0
32007D0198,32007D0198,2007,Decision,Late 2000s,0,1,5,6,324,3,0.433962,0.521739,17
32007D0235,32007D0235,2007,Decision,Late 2000s,0,1,0,1,300,0,0,0,0
32007D0473,32007D0473,2007,Decision,Late 2000s,0,0,2,2,330,4,0.368421,0.411905,0
32009D0022(01),32009D002201,2009,Decision,Late 2000s,0,1,0,1,86,0,0,0,0
32009D0425,32009D0425,2009,Decision,Late 2000s,0,2,0,2,231,0,0,0,0
32009D0561,32009D0561,2009,Decision,Late 2000s,0,1,0,1,84,0,0,0,0
32009R0470,32009R0470,2009,Regulation,Late 2000s,0,2,11,13,231,2,0.789474,0.866667,19.333333
32009R1221,32009R1221,2009,Regulation,Late 2000s,0,5,8,13,329,3,0.508772,0.597701,628.919888
61990CJ0041,61990CJ0041,1990,Case_Law,Pre-Maastricht,0,8,0,8,84,0,0,0,0
61995TJ0129,61995TJ0129,1995,Case_Law,1990s,0,3,0,3,84,0,0,0,0
61996TJ0132,61996TJ0132,1996,Case_Law,1990s,0,2,0,2,84,0,0,0,0
61997CJ0251,61997CJ0251,1997,Case_Law,1990s,0,2,0,2,84,0,0,0,0
61999CJ0205,61999CJ0205,1999,Case_Law,1990s,0,2,0,2,210,0,0,0,0
61999CJ0385,61999CJ0385,1999,Case_Law,1990s,0,1,0,1,210,0,0,0,0
61999CJ0482,61999CJ0482,1999,Case_Law,1990s,0,20,0,20,84,0,0,0,0
62002TJ0171,62002TJ0171,2002,Case_Law,Early 2000s,0,3,0,3,84,0,0,0,0
62008CJ0279,62008CJ0279,2008,Case_Law,Late 2000s,0,6,0,6,84,0,0,0,0
62008TJ0267,62008TJ0267,2008,Case_Law,Late 2000s,0,8,0,8,84,0,0,0,0
62008TJ0443,62008TJ0443,2008,Case_Law,Late 2000s,0,8,0,8,84,0,0,0,0
62008TN0455,62008TN0455,2008,Case_Law,Late 2000s,0,2,0,2,84,0,0,0,0
62009CJ0106,62009CJ0106,2009,Case_Law,Late 2000s,0,2,0,2,84,0,0,0,0
11957E085,11957E085,1957,Treaty,Pre-Treaty of Rome,0,5,0,5,266,0,0,0,0
11957E108,11957E108,1957,Treaty,Pre-Treaty of Rome,0,1,0,1,36,0,0,0,0
11957E116,11957E116,1957,Treaty,Pre-Treaty of Rome,0,1,0,1,58,0,0,0,0
11957E209,11957E209,1957,Treaty,Pre-Treaty of Rome,0,2,0,2,17,0,0,0,0
11979HN08/01,11979HN0801,1979,Treaty,Pre-Single European Act,0,1,0,1,266,0,0,0,0
11992E007,11992E007,1992,Treaty,Pre-Maastricht,0,9,0,9,266,0,0,0,0
11992E054,11992E054,1992,Treaty,Pre-Maastricht,0,1,0,1,50,0,0,0,0
11992E112,11992E112,1992,Treaty,Pre-Maastricht,0,1,0,1,17,0,0,0,0
11997E152,11997E152,1997,Treaty,1990s,0,2,0,2,333,0,0,0,0
12002E071,12002E071,2002,Treaty,Early 2000s,0,3,0,3,157,0,0,0,0
12002M025,12002M025,2002,Treaty,Early 2000s,0,11,0,11,330,0,0,0,0
12003T/TTE,12003TTTE,2003,Treaty,Early 2000s,0,1,0,1,121,0,0,0,0
12003TN10/03,12003TN1003,2003,Treaty,Early 2000s,0,1,0,1,121,0,0,0,0
12006E/PRO/30,12006EPRO30,2006,Treaty,Late 2000s,0,1,0,1,300,0,0,0,0
12006E083,12006E083,2006,Treaty,Late 2000s,0,1,0,1,266,0,0,0,0
12006E207,12006E207,2006,Treaty,Late 2000s,0,2,0,2,330,0,0,0,0
12006E211,12006E211,2006,Treaty,Late 2000s,0,2,0,2,333,0,0,0,0
12006M029,12006M029,2006,Treaty,Late 2000s,0,1,0,1,330,0,0,0,0
