id:ID,url,name,eurovoc_concepts:STRING[],domains:STRING[],subdomains:STRING[],:LABEL
http://eurovoc.europa.eu/3657,http://eurovoc.europa.eu/3657,industry-research relations,"industry-research relations;64 PRODUCTION, TECHNOLOGY AND RESEARCH;research policy;6416 research and intellectual property","64 PRODUCTION, TECHNOLOGY AND RESEARCH",6416 research and intellectual property,EurovocConcept
http://eurovoc.europa.eu/366,http://eurovoc.europa.eu/366,anti-missile defence,0821 defence;military equipment;missile;08 INTERNATIONAL RELATIONS;anti-missile defence,08 INTERNATIONAL RELATIONS,0821 defence,EurovocConcept
http://eurovoc.europa.eu/3660,http://eurovoc.europa.eu/3660,research body,"64 PRODUCTION, TECHNOLOGY AND RESEARCH;research policy;research body;6416 research and intellectual property","64 PRODUCTION, TECHNOLOGY AND RESEARCH",6416 research and intellectual property,EurovocConcept
http://eurovoc.europa.eu/3669,http://eurovoc.europa.eu/3669,company research,"64 PRODUCTION, TECHNOLOGY AND RESEARCH;company research;6416 research and intellectual property;research","64 PRODUCTION, TECHNOLOGY AND RESEARCH",6416 research and intellectual property,EurovocConcept
http://eurovoc.europa.eu/3670,http://eurovoc.europa.eu/3670,basic research,"64 PRODUCTION, TECHNOLOGY AND RESEARCH;basic research;6416 research and intellectual property;research","64 PRODUCTION, TECHNOLOGY AND RESEARCH",6416 research and intellectual property,EurovocConcept
http://eurovoc.europa.eu/3671,http://eurovoc.europa.eu/3671,military research,"64 PRODUCTION, TECHNOLOGY AND RESEARCH;military research;6416 research and intellectual property;research","64 PRODUCTION, TECHNOLOGY AND RESEARCH",6416 research and intellectual property,EurovocConcept
http://eurovoc.europa.eu/3672,http://eurovoc.europa.eu/3672,university research,"university research;64 PRODUCTION, TECHNOLOGY AND RESEARCH;6416 research and intellectual property;research","64 PRODUCTION, TECHNOLOGY AND RESEARCH",6416 research and intellectual property,EurovocConcept
http://eurovoc.europa.eu/3673,http://eurovoc.europa.eu/3673,third-party insurance,third-party insurance;2431 insurance;24 FINANCE;insurance,24 FINANCE,2431 insurance,EurovocConcept
http://eurovoc.europa.eu/3681,http://eurovoc.europa.eu/3681,transport of dangerous goods,transport of dangerous goods;4811 organisation of transport;carriage of goods;organisation of transport;48 TRANSPORT,48 TRANSPORT,4811 organisation of transport,EurovocConcept
http://eurovoc.europa.eu/3706,http://eurovoc.europa.eu/3706,transport insurance,transport insurance;2431 insurance;24 FINANCE;insurance,24 FINANCE,2431 insurance,EurovocConcept
http://eurovoc.europa.eu/3730,http://eurovoc.europa.eu/3730,health risk,28 SOCIAL QUESTIONS;public health;health risk;organisation of health care;2841 health;health policy,28 SOCIAL QUESTIONS,2841 health,EurovocConcept
http://eurovoc.europa.eu/3736,http://eurovoc.europa.eu/3736,agro-energy,energy policy;66 ENERGY;agro-energy;6606 energy policy,66 ENERGY,6606 energy policy,EurovocConcept
http://eurovoc.europa.eu/3737,http://eurovoc.europa.eu/3737,energy industry,66 ENERGY;energy industry;6606 energy policy,66 ENERGY,6606 energy policy,EurovocConcept
http://eurovoc.europa.eu/3741,http://eurovoc.europa.eu/3741,energy-generating product,energy-generating product;66 ENERGY;energy industry;6606 energy policy,66 ENERGY,6606 energy policy,EurovocConcept
http://eurovoc.europa.eu/378,http://eurovoc.europa.eu/378,energy demand,energy demand;energy policy;66 ENERGY;6606 energy policy;energy market,66 ENERGY,6606 energy policy,EurovocConcept
http://eurovoc.europa.eu/3786,http://eurovoc.europa.eu/3786,hydroelectric development,6621 electrical and nuclear industries;66 ENERGY;hydroelectric development;electrical industry,66 ENERGY,6621 electrical and nuclear industries,EurovocConcept
http://eurovoc.europa.eu/3797,http://eurovoc.europa.eu/3797,biotechnology,"64 PRODUCTION, TECHNOLOGY AND RESEARCH;biotechnology;6411 technology and technical regulations","64 PRODUCTION, TECHNOLOGY AND RESEARCH",6411 technology and technical regulations,EurovocConcept
