Id,Label,Year,Type,Era,Seed_Concepts
32019R1122,32019R1122,2019.0,Regulation,Late 2010s,0
32020D2182,32020D2182,2020.0,Decision,2020s,0
32020O1690,32020O1690,2020.0,Legislative_Act,2020s,0
32020R0891,32020R0891,2020.0,Regulation,2020s,0
32020R1273,32020R1273,2020.0,Regulation,2020s,0
32020R1749,32020R1749,2020.0,Regulation,2020s,0
32021L1979,32021L1979,2021.0,Directive,2020s,0
32021R0025,32021R0025,2021.0,Regulation,2020s,0
32021R1139,32021R1139,2021.0,Regulation,2020s,0
32022D0322,32022D0322,2022.0,Decision,2020s,0
32022D1979,32022D1979,2022.0,Decision,2020s,0
32022R0334,32022R0334,2022.0,Regulation,2020s,0
32022R0586,32022R0586,2022.0,Regulation,2020s,0
32023D0274,32023D0274,2023.0,Decision,2020s,0
32023D0459,32023D0459,2023.0,Decision,2020s,0
32023R1114,32023R1114,2023.0,Regulation,2020s,0
32023R2510,32023R2510,2023.0,Regulation,2020s,0
32023R2878,32023R2878,2023.0,Regulation,2020s,0
32024D01459,32024D01459,2024.0,Decision,2020s,0
32024D2631,32024D2631,2024.0,Decision,2020s,0
32024L1260,32024L1260,2024.0,Directive,2020s,0
32024L1760,32024L1760,2024.0,Directive,2020s,0
32024R1106,32024R1106,2024.0,Regulation,2020s,0
32024R1307,32024R1307,2024.0,Regulation,2020s,0
32024R1338,32024R1338,2024.0,Regulation,2020s,0
32024R3190,32024R3190,2024.0,Regulation,2020s,0
32025D0394,32025D0394,2025.0,Decision,2020s,0
61964CJ0056,61964CJ0056,1964.0,Case_Law,Pre-Single European Act,0
61972CJ0070,61972CJ0070,1972.0,Case_Law,Pre-Single European Act,0
61978CJ0209,61978CJ0209,1978.0,Case_Law,Pre-Single European Act,0
61987CJ0030,61987CJ0030,1987.0,Case_Law,Pre-Maastricht,0
61993CJ0056,61993CJ0056,1993.0,Case_Law,1990s,0
61994CJ0259,61994CJ0259,1994.0,Case_Law,1990s,0
61995TJ0011,61995TJ0011,1995.0,Case_Law,1990s,0
61996CJ0342,61996CJ0342,1996.0,Case_Law,1990s,0
61997CJ0219,61997CJ0219,1997.0,Case_Law,1990s,0
61999CJ0310,61999CJ0310,1999.0,Case_Law,1990s,0
61999TJ0228,61999TJ0228,1999.0,Case_Law,1990s,0
