source,target,type
31985S3699,http://eurovoc.europa.eu/3824,HAS_CONCEPT
31985S3699,http://eurovoc.europa.eu/2685,HAS_CONCEPT
31985S3699,http://eurovoc.europa.eu/4667,HAS_CONCEPT
31985S3699,http://eurovoc.europa.eu/2681,HAS_CONCEPT
32017R0940,http://eurovoc.europa.eu/1224,HAS_CONCEPT
32017R0940,http://eurovoc.europa.eu/5055,HAS_CONCEPT
32017R0940,http://eurovoc.europa.eu/6052,HAS_CONCEPT
32017R0940,http://eurovoc.europa.eu/5451,HAS_CONCEPT
32011Q0712(01),http://eurovoc.europa.eu/5511,HAS_CONCEPT
32011Q0712(01),http://eurovoc.europa.eu/3561,HAS_CONCEPT
32011Q0712(01),http://eurovoc.europa.eu/2577,HAS_CONCEPT
32011Q0712(01),http://eurovoc.europa.eu/6049,HAS_CONCEPT
32010L0084R(04),http://eurovoc.europa.eu/2081,HAS_CONCEPT
32010L0084R(04),http://eurovoc.europa.eu/5916,HAS_CONCEPT
32010L0084R(04),http://eurovoc.europa.eu/3813,HAS_CONCEPT
32010L0084R(04),http://eurovoc.europa.eu/3885,HAS_CONCEPT
31999D0332,http://eurovoc.europa.eu/4115,HAS_CONCEPT
31999D0332,http://eurovoc.europa.eu/3069,HAS_CONCEPT
31999D0332,http://eurovoc.europa.eu/4505,HAS_CONCEPT
31999D0332,http://eurovoc.europa.eu/4518,HAS_CONCEPT
31999D0332,http://eurovoc.europa.eu/889,HAS_CONCEPT
31999D0332,http://eurovoc.europa.eu/1182,HAS_CONCEPT
32022R1994,http://eurovoc.europa.eu/3942,HAS_CONCEPT
32022R1994,http://eurovoc.europa.eu/c_8f89faac,HAS_CONCEPT
32022R1994,http://eurovoc.europa.eu/c_dcf3f7c0,HAS_CONCEPT
32022R1994,http://eurovoc.europa.eu/4195,HAS_CONCEPT
32022R1994,http://eurovoc.europa.eu/3220,HAS_CONCEPT
32022R1994,http://eurovoc.europa.eu/1423,HAS_CONCEPT
32022R1994,http://eurovoc.europa.eu/5235,HAS_CONCEPT
32022R1994,http://eurovoc.europa.eu/5334,HAS_CONCEPT
32022R1994,http://eurovoc.europa.eu/3246,HAS_CONCEPT
32022R1994,http://eurovoc.europa.eu/560,HAS_CONCEPT
32002R0178R(05),http://eurovoc.europa.eu/1284,HAS_CONCEPT
32002R0178R(05),http://eurovoc.europa.eu/2836,HAS_CONCEPT
32002R0178R(05),http://eurovoc.europa.eu/614,HAS_CONCEPT
32002R0178R(05),http://eurovoc.europa.eu/6569,HAS_CONCEPT
32002R0178R(05),http://eurovoc.europa.eu/192,HAS_CONCEPT
32002R0178R(05),http://eurovoc.europa.eu/6307,HAS_CONCEPT
32002R0178R(05),http://eurovoc.europa.eu/1590,HAS_CONCEPT
32002R0178R(05),http://eurovoc.europa.eu/2735,HAS_CONCEPT
32002R0178R(05),http://eurovoc.europa.eu/1224,HAS_CONCEPT
32002R0178R(05),http://eurovoc.europa.eu/7126,HAS_CONCEPT
32012R1181,http://eurovoc.europa.eu/4720,HAS_CONCEPT
32012R1181,http://eurovoc.europa.eu/4726,HAS_CONCEPT
32012R1181,http://eurovoc.europa.eu/336,HAS_CONCEPT
32012R1181,http://eurovoc.europa.eu/4320,HAS_CONCEPT
32012R1181,http://eurovoc.europa.eu/89,HAS_CONCEPT
32012R1181,http://eurovoc.europa.eu/3774,HAS_CONCEPT
32016R0667,http://eurovoc.europa.eu/4839,HAS_CONCEPT
32016R0667,http://eurovoc.europa.eu/3774,HAS_CONCEPT
32016R0667,http://eurovoc.europa.eu/2488,HAS_CONCEPT
32016R0667,http://eurovoc.europa.eu/5542,HAS_CONCEPT
32016R0667,http://eurovoc.europa.eu/1644,HAS_CONCEPT
32016R0667,http://eurovoc.europa.eu/2381,HAS_CONCEPT
32016R0667,http://eurovoc.europa.eu/3584,HAS_CONCEPT
32016R0667,http://eurovoc.europa.eu/11,HAS_CONCEPT
32016R0667,http://eurovoc.europa.eu/1318,HAS_CONCEPT
31997R1103,http://eurovoc.europa.eu/4608,HAS_CONCEPT
31997R1103,http://eurovoc.europa.eu/665,HAS_CONCEPT
31997R1103,http://eurovoc.europa.eu/6335,HAS_CONCEPT
31997R1103,http://eurovoc.europa.eu/5943,HAS_CONCEPT
32015R0165,http://eurovoc.europa.eu/191,HAS_CONCEPT
32015R0165,http://eurovoc.europa.eu/2985,HAS_CONCEPT
32015R0165,http://eurovoc.europa.eu/3810,HAS_CONCEPT
32015R0165,http://eurovoc.europa.eu/6569,HAS_CONCEPT
31999Y1012(01),http://eurovoc.europa.eu/4076,HAS_CONCEPT
