celex,title,year,domains,subdomains,legal_type,url
32011D0529,32011D0529,2011.0,BUSINESS AND COMPETITION;ECONOMICS;FINANCE;GEOGRAPHY;INDUSTRY;EUROPEAN UNION,"ECONOMIC POLICY;COMPETITION;EUROPE;ECONOMIC GEOGRAPHY;BUSINESS CLASSIFICATION;IRON, STEEL AND OTHER METAL INDUSTRIES;EUROPEAN UNION LAW;POLITICAL GEOGRAPHY;FREE MOVEMENT OF CAPITAL",Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0529
32011D0639,32011D0639,2011.0,TRADE;INTERNATIONAL RELATIONS;LAW;GEOGRAPHY,INTERNATIONAL SECURITY;INTERNATIONAL TRADE;ASIA AND OCEANIA;INTERNATIONAL AFFAIRS;ECONOMIC GEOGRAPHY;CRIMINAL LAW,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0639
32011D0658,32011D0658,2011.0,ECONOMICS;FINANCE;EMPLOYMENT AND WORKING CONDITIONS;EUROPEAN UNION,ECONOMIC POLICY;EMPLOYMENT;BUDGET;ECONOMIC CONDITIONS;EU FINANCE,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0658
32011D0684,32011D0684,2011.0,UNKNOWN,SETTORE TRASVERSALE,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0684
32011D0688,32011D0688,2011.0,UNKNOWN,SETTORE TRASVERSALE,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0688
32011D0689,32011D0689,2011.0,"INTERNATIONAL RELATIONS;AGRICULTURE, FORESTRY AND FISHERIES;EUROPEAN UNION",EUROPEAN UNION LAW;AGRICULTURAL POLICY;COOPERATION POLICY;EU FINANCE,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0689
32011D0692,32011D0692,2011.0,SOCIAL QUESTIONS;INTERNATIONAL RELATIONS;LAW;GEOGRAPHY;EUROPEAN UNION,SOCIAL AFFAIRS;EUROPE;INTERNATIONAL AFFAIRS;ECONOMIC GEOGRAPHY;CRIMINAL LAW;EUROPEAN UNION LAW;POLITICAL GEOGRAPHY;RIGHTS AND FREEDOMS,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0692
32011D0694,32011D0694,2011.0,"PRODUCTION, TECHNOLOGY AND RESEARCH;INTERNATIONAL RELATIONS;TRANSPORT;GEOGRAPHY;EUROPEAN UNION",INTERNATIONAL AFFAIRS;ECONOMIC GEOGRAPHY;AMERICA;AIR AND SPACE TRANSPORT;TRANSPORT POLICY;POLITICAL GEOGRAPHY;COOPERATION POLICY;TECHNOLOGY AND TECHNICAL REGULATIONS;EUROPEAN CONSTRUCTION,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0694
32011D0697,32011D0697,2011.0,UNKNOWN,SETTORE TRASVERSALE,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0697
32011D0698R(01),32011D0698R(01),2011.0,POLITICS;INTERNATIONAL RELATIONS;GEOGRAPHY,ASIA AND OCEANIA;INTERNATIONAL AFFAIRS;ECONOMIC GEOGRAPHY;POLITICS AND PUBLIC SAFETY,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0698R(01)
